WorkID,WorkTitle,Genre,GenreID
745,"Come Out To LA","Narrative, Music video","20001, 2000316"
2778,Compis,"Narrative, Novel","20001, 2000133"
2778,Compis,"Narrative, Novel","20001, 2000133"
393,"Dirty Computer","Narrative, Music video","20001, 2000316"
393,"Dirty Computer","Narrative, Music video","20001, 2000316"
810,"Final Space","Narrative, TV series or episode","20001, 2000131"
810,"Final Space","Narrative, TV series or episode","20001, 2000131"
2714,Freaks,"Narrative, Movie","20001, 2000130"
2714,Freaks,"Narrative, Movie","20001, 2000130"
26,"I Spy with my Machine Eye","Narrative, Electronic literature","20001, 2000137"
26,"I Spy with my Machine Eye","Narrative, Electronic literature","20001, 2000137"
220,"I'm going to die, and probably soon, because of what I saw through an unsecured webcam one night","Narrative, Creepypasta","20001, 2000136"
220,"I'm going to die, and probably soon, because of what I saw through an unsecured webcam one night","Narrative, Creepypasta","20001, 2000136"
1196,"Little Eyes/Kentukis","Narrative, Novel","20001, 2000133"
1196,"Little Eyes/Kentukis","Narrative, Novel","20001, 2000133"
2978,"Moth & Whisper","Narrative, Comic","20001, 2000330"
2978,"Moth & Whisper","Narrative, Comic","20001, 2000330"
222,"My Camera Knows Something I Don't","Narrative, Creepypasta","20001, 2000136"
222,"My Camera Knows Something I Don't","Narrative, Creepypasta","20001, 2000136"
165,"No More Selfies - A Kardashian Dystopia","Narrative, Fan fiction","20001, 2000135"
165,"No More Selfies - A Kardashian Dystopia","Narrative, Fan fiction","20001, 2000135"
290,"Ocean`s Eight","Narrative, Movie","20001, 2000130"
290,"Ocean`s Eight","Narrative, Movie","20001, 2000130"
10,"Ralph Breaks the Internet","Narrative, Movie","20001, 2000130"
10,"Ralph Breaks the Internet","Narrative, Movie","20001, 2000130"
666,Replicas,"Narrative, Movie","20001, 2000130"
666,Replicas,"Narrative, Movie","20001, 2000130"
1024,Seed,"Narrative, Comic","20001, 2000330"
1024,Seed,"Narrative, Comic","20001, 2000330"
2607,"She-Ra and the Princess of Power","Narrative, TV series or episode","20001, 2000131"
2607,"She-Ra and the Princess of Power","Narrative, TV series or episode","20001, 2000131"
585,"Square Eyes","Narrative, Comic","20001, 2000330"
585,"Square Eyes","Narrative, Comic","20001, 2000330"
2948,"The High-Rise Diver","Narrative, Novel","20001, 2000133"
2948,"The High-Rise Diver","Narrative, Novel","20001, 2000133"
1749,"The Rain","Narrative, TV series or episode","20001, 2000131"
1749,"The Rain","Narrative, TV series or episode","20001, 2000131"
2532,"Isle of Dogs","Narrative, Movie","20001, 2000130"
2532,"Isle of Dogs","Narrative, Movie","20001, 2000130"
2077,"Avengers: Infinity War","Narrative, Movie","20001, 2000130"
2077,"Avengers: Infinity War","Narrative, Movie","20001, 2000130"
1804,"Deadpool 2","Narrative, Movie","20001, 2000130"
1804,"Deadpool 2","Narrative, Movie","20001, 2000130"
1892,"Incredibles 2","Narrative, Movie","20001, 2000130"
1892,"Incredibles 2","Narrative, Movie","20001, 2000130"
2525,STET,"Narrative, Short story","20001, 2000134"
2525,STET,"Narrative, Short story","20001, 2000134"
2344,"Best Friend","Narrative, Movie","20001, 2000130"
2344,"Best Friend","Narrative, Movie","20001, 2000130"
