Character,ID,Race/ethnicity,"Race/ethnicity ID",Gender,"Gender ID",Species,"Species ID",Age,"Age ID",Sexuality,"Sexuality ID"
"Suspect (Interface)",2758,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Consumer (Belief Systems)",2756,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Deep Face Dude",2754,White,2000216,Male,2000149,Human,2000219,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
Nannybot,2753,White,2000216,Female,2000148,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
"Female Device Users",2752,"Unknown/not applicable",2000217,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Animals (Encounters)",2751,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Animal,2000222,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
Darren,2750,White,2000216,Male,2000149,Human,2000219,"Young adult",2000225,"Unknown/not applicable",20001506
"Doctor (Seed)",2748,Black,2000310,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Security company (Seed)",2747,White,2000216,"Unknown/Not applicable",2000151,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Human children",2745,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Human,2000219,Child,2000224,"Unknown/not applicable",20001506
"""Doug Rosman""",2744,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"White Collar Criminal",2743,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"""Bill Hader""",2742,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Asylum patients (Outlast)",2736,"Unknown/not applicable",2000217,Male,2000149,"Fictional species",2000223,Adult,2000227,"Unknown/not applicable",20001506
Animatrons,2735,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Machine animals",2734,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,"Machine, Animal","2000220, 2000222","Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Red Girls",2733,White,2000216,Non-binary/Other,2000150,Machine,2000220,Child,2000224,"Unknown/not applicable",20001506
9S,2731,White,2000216,Male,2000149,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
"Natali Kuroshenko",2730,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Homosexual,20001199
"Corporal Mandy Bale",2728,"Person of colour",2000215,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Captain Leo",2725,Black,2000310,Male,2000149,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
"Lt. Thomas Harp",2724,Black,2000310,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Daniel Lyons",2720,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Homosexual,20001199
South,2718,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Chloe,2713,White,2000216,Female,2000148,Human,2000219,Child,2000224,"Unknown/not applicable",20001506
"William Daniels",2708,Indigenous,2000214,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
Oz,2699,Asian,2000323,Male,2000149,Cyborg,2000221,Adult,2000227,"Unknown/not applicable",20001506
"Jim Compagnoni",2698,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"The Boy",2692,"Unknown/not applicable",2000217,Male,2000149,Machine,2000220,Child,2000224,"Unknown/not applicable",20001506
"The Man",2691,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Alex Neville",2685,White,2000216,Male,2000149,Human,2000219,"Young adult",2000225,"Unknown/not applicable",20001506
Shelly,2681,"Unknown/not applicable",2000217,Female,2000148,Animal,2000222,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Unknown hacker (Hyper reality)",2680,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Human,2000219,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Juliana Restrepo",2678,"Person of colour",2000215,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Amber,2674,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
Daniel,2673,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Krissana Khongtip",2669,Asian,2000323,Female,2000148,Cyborg,2000221,Adult,2000227,Homosexual,20001199
"Orfea Leung",2668,Asian,2000323,Female,2000148,Human,2000219,Adult,2000227,Homosexual,20001199
Louisa,2662,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Max robot",2661,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
Nigel,2660,White,2000216,Male,2000149,Human,2000219,Elderly,2000226,"Unknown/not applicable",20001506
Pig,2658,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Animal,2000222,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Hungry Man",2656,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Garm Galtung (Utbryterne)",2653,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Noah (Utbryterne)",2641,White,2000216,Male,2000149,Human,2000219,"Young adult",2000225,Heterosexual,2000999
"Unnamed technician (Gnomon)",2639,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"""Incubus""",2636,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Mielikki Neith (Gnomon)",2634,"Unknown/not applicable",2000217,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Diana Hunter (Gnomon)",2633,"Unknown/not applicable",2000217,Female,2000148,Human,2000219,Elderly,2000226,"Unknown/not applicable",20001506
